;0
12312;1
12335;2
12344;2
12351;1
12368;1
12383;2
12417;2
12446;1
12483;1
12502;1
12512;1
12515;2
12521;2
12527;2
12557;1
12635;1
12644;2
12685;1
12719;1
12778;1
12793;1
12803;1
12809;1
12836;2
12844;1
12863;1
12864;1
12931;1
12940;2
12946;1
12953;2
12984;2
13017;1
13019;1
13022;2
13160;1
13168;1
13188;1
13202;1
13222;1
13252;1
13260;1
13264;1
13284;1
13318;1
13325;1
13339;2
13359;1
13390;1
13416;1
13446;1
13458;1
13461;1
13484;1
13485;1
13494;1
13499;1
13511;2
13520;1
13602;2
13636;1
13661;2
13662;1
13747;2
13793;1
13814;2
13815;1
13910;1
13923;2
13926;1
13954;1
14042;1
14067;2
14086;1
14102;1
14112;2
14127;2
14187;2
14199;1
14211;1
14226;1
14228;1
14247;2
14395;1
14399;1
14414;1
14415;1
14417;1
14442;2
14451;1
14459;2
14553;1
14557;1
14561;2
14563;1
14588;1
14596;1
14604;1
14649;2
14665;1
14667;2
14686;2
14688;1
14728;1
14737;2
14793;1
14798;1
14827;1
14832;1
14841;2
14842;1
14997;1
15009;1
15024;1
15040;2
15079;2
15097;1
15157;1
15169;2
15199;1
15211;1
15248;1
15252;1
15274;2
15280;1
15313;1
15344;2
15364;1
15381;1
15416;1
15441;1
15459;1
15512;1
15574;2
15638;1
15662;1
15666;1
15679;1
15708;1
15711;1
15718;1
15725;1
15727;1
15750;1
15793;2
15858;1
15899;1
15906;2
15994;1
16030;1
16032;1
16104;1
16135;2
16166;1
16199;1
16213;2
16348;1
16396;2
16400;1
16405;1
16417;2
16445;1
16534;2
16536;1
16772;1
16819;1
16864;1
16915;1
16929;1
16960;1
16973;1
16976;1
17019;1
17065;1
17144;2
17198;1
17244;2
17250;1
17352;1
17425;1
17469;1
17515;1
17583;2
17587;1
17591;1
17622;1
17627;1
17636;1
17712;1
17767;1
17923;1
17993;1
18034;1
18069;2
18135;2
18167;1
18433;1
18481;1
18491;1
18546;1
18607;1
18659;1
18671;1
18673;1
18729;1
18732;1
18750;2
18756;2
18783;2
18836;2
18841;2
18847;2
18925;2
18954;1
19131;1
19181;1
19383;1
19486;1
19591;1
19604;1
19662;2
19773;1
19869;2
19933;1
19971;2
19999;1
20003;2
20019;1
20034;1
20038;1
20076;1
20100;2
20122;1
20128;2
20359;1
20394;1
20425;1
20433;1
20477;1
20480;1
20566;1
20655;1
20676;2
